topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
ld_XBAR,64,42,local,65536,65536,2592,.420,.395,50,14,8934,50,.12958793483153292181,5.17333984375000000000
ld_XBAR,64,43,local,65536,65536,2532,.430,.404,46,14,10052,46,.13375666469194312796,5.23100280761718750000
ld_XBAR,64,44,local,65536,65536,2492,.440,.410,76,14,11122,76,.13755998361423220973,5.30195617675781250000
ld_XBAR,64,45,local,65536,65536,2426,.450,.422,68,14,12210,68,.14311108821104699093,5.37620544433593750000
ld_XBAR,64,47,local,65536,65536,2320,.470,.441,66,14,15223,66,.15336801813936781609,5.53791809082031250000
ld_XBAR,64,46,local,65536,65536,2360,.460,.433,66,14,13862,66,.14897874735169491525,5.46173095703125000000
ld_XBAR,64,48,local,65536,65536,2278,.480,.449,68,14,17444,68,.15748863677933860111,5.61442565917968750000
ld_XBAR,64,49,local,65536,65536,2217,.490,.461,86,17,19889,86,.16413767666516313336,5.72161865234375000000
ld_XBAR,64,50,local,65536,65536,2177,.500,.470,94,17,22910,94,.17006272967386311437,5.85217285156250000000
bp_XBAR,64,5,local,65536,65536,21788,.050,.046,13,2,29,13,.05155844817101156599,3.33050537109375000000
bp_XBAR,64,6,local,65536,65536,18337,.060,.055,13,2,48,13,.06114004471832906146,3.33691406250000000000
bp_XBAR,64,7,local,65536,65536,15908,.070,.064,13,2,69,13,.07031397331531305003,3.34004211425781250000
bp_XBAR,64,13,local,65536,65536,8282,.130,.123,13,3,235,13,.13337754316590195604,3.38227844238281250000
bp_XBAR,64,12,local,65536,65536,8978,.120,.114,13,3,206,14,.12330981519640602955,3.37710571289062500000
bp_XBAR,64,15,local,65536,65536,7219,.150,.141,14,3,313,14,.15244998730202705822,3.40106201171875000000
bp_XBAR,64,11,local,65536,65536,9842,.110,.104,13,3,180,13,.11266764885185937817,3.36576843261718750000
bp_XBAR,64,10,local,65536,65536,10820,.100,.094,13,2,154,13,.10267600989679605668,3.35609436035156250000
bp_XBAR,64,8,local,65536,65536,13535,.080,.075,13,2,84,13,.08246627185691417313,3.34873962402343750000
bp_XBAR,64,16,local,65536,65536,6772,.160,.151,14,3,344,14,.16217436380192951368,3.41032409667968750000
bp_XBAR,64,9,local,65536,65536,12089,.090,.084,13,2,113,13,.09211111340888410952,3.35214233398437500000
bp_XBAR,64,4,local,65536,65536,26936,.040,.038,13,2,18,13,.04179123856858231858,3.32569885253906250000
bp_XBAR,64,14,local,65536,65536,7683,.140,.133,13,3,289,13,.14354117179704108638,3.39476013183593750000
bp_XBAR,64,3,local,65536,65536,35424,.030,.028,13,1,11,13,.03183440105342893706,3.31367492675781250000
bp_XBAR,64,2,local,65536,65536,53643,.020,.019,13,2,8,13,.02107188962213149898,3.31196594238281250000
bp_XBAR,64,1,local,65536,65536,111015,.010,.009,12,0,0,12,.01021878847077722229,3.32667541503906250000
bp_XBAR,64,18,local,65536,65536,6065,.180,.168,14,2,467,14,.18029635545479527342,3.42549133300781250000
bp_XBAR,64,28,local,65536,65536,3972,.280,.257,16,3,1649,16,.26957222694276602886,3.54457092285156250000
bp_XBAR,64,17,local,65536,65536,6364,.170,.160,14,3,432,14,.17219601960245128849,3.41690063476562500000
bp_XBAR,64,19,local,65536,65536,5792,.190,.176,14,2,577,14,.18844666314168968692,3.43977355957031250000
bp_XBAR,64,20,local,65536,65536,5521,.200,.185,14,2,675,14,.19731762814707480528,3.45085144042968750000
bp_XBAR,64,22,local,65536,65536,4980,.220,.205,14,3,867,14,.21774598393574297188,3.46775817871093750000
bp_XBAR,64,25,local,65536,65536,4393,.250,.233,15,4,1154,15,.24525434640336899613,3.49792480468750000000
bp_XBAR,64,21,local,65536,65536,5254,.210,.194,14,2,794,14,.20685331017637355665,3.45886230468750000000
bp_XBAR,64,24,local,65536,65536,4528,.240,.226,15,4,1083,15,.23848139355123674911,3.48889160156250000000
bp_XBAR,64,26,local,65536,65536,4217,.260,.242,15,4,1288,16,.25497768210022923089,3.51179504394531250000
bp_XBAR,64,27,local,65536,65536,4091,.270,.250,16,3,1472,16,.26230343029414161166,3.52867126464843750000
bp_XBAR,64,23,local,65536,65536,4787,.230,.213,15,3,944,15,.22604814036278810667,3.47538757324218750000
bp_XBAR,64,29,local,65536,65536,3840,.290,.266,16,3,1748,16,.27826707628038194444,3.55943298339843750000
bp_XBAR,64,30,local,65536,65536,3753,.300,.272,16,3,1915,16,.28413380406785682565,3.57487487792968750000
bp_XBAR,64,31,local,65536,65536,3620,.310,.282,16,4,2125,16,.29390466735727440147,3.59585571289062500000
bp_XBAR,64,32,local,65536,65536,3504,.320,.292,16,4,2319,16,.30297108364250380517,3.61320495605468750000
bp_XBAR,64,35,local,65536,65536,3128,.350,.327,17,6,3081,17,.33707057891091219096,3.66592407226562500000
bp_XBAR,64,34,local,65536,65536,3221,.340,.317,17,6,2839,17,.32801989547759494980,3.64700317382812500000
bp_XBAR,64,33,local,65536,65536,3323,.330,.308,17,4,2607,17,.31875454534055572274,3.63201904296875000000
bp_XBAR,64,36,local,65536,65536,3040,.360,.336,17,6,3329,17,.34605348821271929824,3.68904113769531250000
